average error,percent correct
0.872379,0.260870
0.836015,0.434783
0.854236,0.363636
0.879198,0.150000
0.892423,0.150000
0.852329,0.300000
0.876164,0.157895
0.892820,0.105263
0.886397,0.100000
0.884855,0.150000
0.904307,0.050000
0.884340,0.150000
0.899304,0.050000
0.891202,0.050000
0.902701,0.050000
0.896627,0.000000
0.891042,0.100000
0.874118,0.150000
0.875722,0.181818
0.887292,0.090909
0.878063,0.045455
0.888379,0.047619
0.888529,0.100000
0.880366,0.100000
0.871993,0.100000
0.864102,0.050000
0.888530,0.000000
0.887305,0.100000
0.903375,0.041667
0.888127,0.086957
0.902195,0.000000
0.879479,0.086957
0.871831,0.086957
0.891301,0.086957
0.893735,0.086957
0.904197,0.086957
0.896729,0.136364
0.900341,0.136364
0.884548,0.291667
0.895330,0.083333
0.873343,0.291667
0.887945,0.083333
0.880895,0.125000
0.893844,0.083333
0.898371,0.125000
0.871969,0.125000
0.872055,0.208333
0.882451,0.130435
0.877723,0.166667
0.896658,0.130435
0.879711,0.217391
0.872839,0.347826
0.866973,0.304348
0.879818,0.238095
0.850359,0.380952
0.858233,0.380952
0.851625,0.428571
0.828125,0.523810
0.879438,0.120000
0.884615,0.120000
0.873215,0.166667
0.878403,0.208333
0.892163,0.125000
0.897968,0.173913
0.874778,0.181818
0.880618,0.090909
0.875484,0.181818
0.853987,0.285714
0.874652,0.291667
0.882582,0.136364
0.890846,0.136364
0.903459,0.142857
0.901036,0.050000
0.906007,0.100000
0.892755,0.052632
0.910237,0.000000
0.900125,0.117647
0.919195,0.000000
0.903941,0.052632
0.898107,0.000000
0.906743,0.000000
0.884886,0.000000
0.900014,0.062500
0.901568,0.000000
0.895510,0.062500
0.892915,0.125000
0.902603,0.062500
0.895679,0.125000
0.892967,0.222222
0.908815,0.055556
0.910013,0.000000
0.911926,0.000000
0.906213,0.000000
0.913490,0.058824
0.902895,0.058824
0.896308,0.058824
0.905747,0.062500
0.894957,0.062500
0.902763,0.105263
0.891988,0.210526
0.907371,0.277778
0.907429,0.055556
0.898057,0.111111
0.897443,0.166667
0.893284,0.055556
0.897095,0.055556
0.899328,0.055556
0.885080,0.166667
0.901008,0.105263
0.894835,0.000000
0.904662,0.000000
0.903818,0.000000
0.894934,0.055556
0.913423,0.000000
0.895101,0.055556
0.898092,0.055556
0.891978,0.055556
0.883803,0.166667
0.882907,0.250000
0.899310,0.200000
0.898310,0.100000
0.898516,0.150000
0.888151,0.200000
0.896534,0.150000
0.892738,0.250000
0.904434,0.100000
0.888357,0.200000
0.899085,0.100000
0.873051,0.391304
0.874362,0.550000
0.871249,0.400000
0.891662,0.300000
0.879325,0.300000
0.881964,0.300000
0.887178,0.277778
0.870091,0.312500
0.873222,0.312500
0.889684,0.187500
0.873615,0.368421
0.849418,0.526316
0.905235,0.105263
0.887269,0.176471
0.898233,0.058824
0.881341,0.235294
0.881516,0.176471
0.891466,0.058824
0.872711,0.235294
0.872159,0.250000
0.896579,0.166667
0.903296,0.055556
0.912108,0.055556
0.903657,0.055556
0.895898,0.111111
0.893743,0.111111
0.893400,0.176471
0.890844,0.176471
0.909053,0.000000
0.880268,0.250000
0.869918,0.277778
0.885918,0.166667
0.860018,0.388889
0.875500,0.277778
0.890402,0.111111
0.896133,0.111111
0.885409,0.222222
0.897842,0.058824
0.896707,0.058824
0.895515,0.000000
0.884232,0.166667
0.869822,0.333333
0.894327,0.187500
0.861743,0.375000
0.876752,0.250000
0.882871,0.187500
0.900727,0.083333
0.899531,0.000000
0.890941,0.090909
0.893808,0.090909
0.891395,0.125000
0.889350,0.062500
0.894998,0.125000
0.879329,0.187500
0.886288,0.200000
0.887272,0.066667
0.876784,0.200000
0.899190,0.000000
0.891106,0.133333
0.899836,0.000000
0.898256,0.111111
0.896398,0.117647
0.901042,0.058824
0.891748,0.058824
0.896206,0.062500
0.887178,0.125000
0.889411,0.125000
0.880348,0.133333
0.886613,0.066667
0.895888,0.000000
0.890219,0.052632
0.894301,0.052632
0.888309,0.052632
0.877883,0.166667
0.898341,0.000000
0.885228,0.111111
0.895587,0.058824
0.897112,0.062500
0.889094,0.125000
0.885197,0.200000
0.882065,0.210526
0.891837,0.105263
0.897192,0.117647
0.900194,0.058824
0.913030,0.000000
0.888509,0.000000
0.904814,0.066667
0.893855,0.000000
0.891404,0.142857
0.888954,0.230769
0.896297,0.083333
0.891671,0.000000
0.900453,0.000000
0.897213,0.000000
0.908559,0.000000
0.894561,0.083333
0.888616,0.083333
0.886501,0.083333
0.877663,0.272727
0.885869,0.090909
0.895242,0.066667
0.874487,0.142857
0.894054,0.142857
0.897530,0.142857
0.897487,0.000000
0.887548,0.142857
0.895078,0.000000
0.892204,0.142857
0.903761,0.071429
0.894827,0.071429
0.895214,0.117647
0.894600,0.000000
0.892181,0.117647
0.888730,0.000000
0.883845,0.375000
0.881890,0.187500
0.885131,0.333333
0.886463,0.200000
0.887556,0.000000
0.866415,0.466667
0.882160,0.125000
0.892097,0.066667
0.891640,0.071429
0.893489,0.076923
0.902517,0.076923
0.891677,0.166667
0.889910,0.083333
0.895168,0.083333
0.885308,0.166667
0.878480,0.200000
0.884214,0.230769
0.877019,0.230769
0.886820,0.000000
0.888110,0.000000
0.885251,0.100000
0.880241,0.200000
0.888816,0.111111
0.889391,0.000000
0.883256,0.250000
0.888257,0.000000
0.885645,0.272727
0.902515,0.090909
0.887987,0.090909
0.879840,0.181818
0.883183,0.300000
0.883653,0.375000
0.897885,0.125000
0.883317,0.250000
0.894761,0.125000
0.891426,0.125000
0.877274,0.300000
0.868365,0.100000
0.886473,0.100000
0.872914,0.200000
0.881994,0.200000
0.870720,0.300000
0.895256,0.100000
0.871741,0.400000
0.885387,0.222222
0.884363,0.111111
0.884391,0.153846
0.890508,0.153846
0.874934,0.230769
0.878572,0.166667
0.864983,0.363636
0.886497,0.272727
0.890422,0.090909
0.885567,0.090909
0.883469,0.090909
0.889799,0.090909
0.894861,0.076923
0.892494,0.076923
0.875879,0.166667
0.879321,0.333333
0.879743,0.166667
0.895134,0.181818
0.871745,0.363636
